method,sequence,accuracy,recall,fps,reinit,frames
pmmh,bolt1,0.812047,0.585425,21.875,0,350
pmmh,bolt1,0.77376,0.537583,20.5882,2,350
pmmh,bolt1,0.807506,0.692808,16.6667,2,350
pmmh,bolt1,0.749661,0.78641,15.2174,3,350
pmmh,bolt1,0.77934,0.734535,15.9091,2,350
pmmh,bolt1,0.816113,0.622881,21.875,0,350
pmmh,bolt1,0.799882,0.736885,12.963,2,350
pmmh,bolt1,0.751918,0.613883,13.4615,3,350
pmmh,bolt1,0.805683,0.641113,19.4444,1,350
pmmh,bolt1,0.81589,0.614272,19.4444,2,350
pmmh,bolt1,0.828062,0.597166,15.9091,0,350
pmmh,bolt1,0.797136,0.623981,20.5882,1,350
pmmh,bolt1,0.717411,0.685813,15.2174,2,350
tracker,bolt1,0.803556,0.582407,116.667,0,350
tracker,bolt1,0.773352,0.613026,116.667,1,350
tracker,bolt1,0.808426,0.618303,116.667,0,350
tracker,bolt1,0.78123,0.659709,116.667,3,350
tracker,bolt1,0.813934,0.621767,175,0,350
tracker,bolt1,0.74032,0.617941,116.667,5,350
tracker,bolt1,0.812211,0.616724,116.667,0,350
tracker,bolt1,0.769314,0.72911,116.667,4,350
tracker,bolt1,0.81212,0.587671,116.667,0,350
tracker,bolt1,0.709048,0.626838,116.667,3,350
tracker,bolt1,0.764862,0.708626,116.667,2,350
tracker,bolt1,0.754053,0.653282,116.667,1,350
tracker,bolt1,0.740121,0.697158,87.5,4,350
tracker,bolt1,0.81532,0.590502,116.667,0,350
tracker,bolt1,0.823602,0.594987,116.667,0,350
pmmh,bolt2,0.675166,0.666996,14.65,16,293
pmmh,bolt2,0.699747,0.692674,18.3125,12,293
pmmh,bolt2,0.635671,0.710229,17.2353,8,293
pmmh,bolt2,0.652865,0.689027,17.2353,13,293
pmmh,bolt2,0.586612,0.687418,12.2083,11,293
pmmh,bolt2,0.656211,0.690851,17.2353,13,293
pmmh,bolt2,0.60735,0.620228,15.4211,26,293
pmmh,bolt2,0.709064,0.704485,13.3182,9,293
pmmh,bolt2,0.661381,0.680213,13.3182,12,293
pmmh,bolt2,0.714523,0.709956,13.9524,11,293
pmmh,bolt2,0.609327,0.637889,18.3125,18,293
pmmh,bolt2,0.690448,0.702496,17.2353,10,293
pmmh,bolt2,0.635705,0.67073,16.2778,7,293
pmmh,bolt2,0.632721,0.682767,16.2778,10,293
pmmh,bolt2,0.598307,0.609951,13.9524,13,293
tracker,bolt2,0.648178,0.682465,146.5,8,293
tracker,bolt2,0.660571,0.660739,146.5,10,293
tracker,bolt2,0.693421,0.662532,97.6667,9,293
tracker,bolt2,0.71255,0.700663,146.5,12,293
tracker,bolt2,0.696901,0.685939,97.6667,12,293
tracker,bolt2,0.67026,0.725378,97.6667,7,293
tracker,bolt2,0.668523,0.683377,146.5,8,293
tracker,bolt2,0.648528,0.667609,146.5,10,293
tracker,bolt2,0.733328,0.772807,97.6667,10,293
tracker,bolt2,0.662157,0.696085,97.6667,8,293
tracker,bolt2,0.666002,0.673827,146.5,14,293
tracker,bolt2,0.604412,0.651436,146.5,11,293
tracker,bolt2,0.596302,0.629214,146.5,9,293
tracker,bolt2,0.722518,0.754837,97.6667,10,293
tracker,bolt2,0.621834,0.603844,97.6667,11,293
pmmh,book,0.527852,0.519509,7.6087,20,175
pmmh,book,0.544327,0.554274,10.9375,21,175
pmmh,book,0.509252,0.56805,6.73077,20,175
pmmh,book,0.530604,0.488732,11.6667,18,175
pmmh,book,0.508833,0.547193,6.48148,21,175
pmmh,book,0.527349,0.512256,7.6087,19,175
pmmh,book,0.609042,0.53817,9.21053,24,175
pmmh,book,0.491271,0.544964,7,23,175
pmmh,book,0.471,0.53961,9.72222,17,175
pmmh,book,0.489036,0.538597,7.29167,19,175
pmmh,book,0.572252,0.571646,7.95455,26,175
pmmh,book,0.588089,0.519957,8.33333,19,175
pmmh,book,0.550371,0.529463,8.33333,18,175
pmmh,book,0.540785,0.540568,7.29167,21,175
pmmh,book,0.485841,0.57253,6.48148,22,175
tracker,book,0.563344,0.558281,87.5,21,175
tracker,book,0.554654,0.547192,87.5,20,175
tracker,book,0.50677,0.543378,58.3333,17,175
tracker,book,0.52032,0.526476,58.3333,21,175
tracker,book,0.610743,0.551832,87.5,18,175
tracker,book,0.558768,0.52696,58.3333,20,175
tracker,book,0.545949,0.518135,58.3333,24,175
tracker,book,0.540627,0.577148,58.3333,22,175
tracker,book,0.516173,0.528892,87.5,22,175
tracker,book,0.549532,0.571037,58.3333,19,175
tracker,book,0.563619,0.544153,58.3333,15,175
tracker,book,0.582812,0.573817,58.3333,21,175
tracker,book,0.545978,0.575274,58.3333,19,175
tracker,book,0.56851,0.569747,87.5,19,175
tracker,book,0.53138,0.521514,87.5,19,175
pmmh,butterfly,0.645835,0.424777,8.38889,5,151
pmmh,butterfly,0.629043,0.446974,6.56522,4,151
pmmh,butterfly,0.662665,0.397356,7.19048,5,151
pmmh,butterfly,0.612202,0.433176,8.38889,3,151
pmmh,butterfly,0.636177,0.475946,6.86364,4,151
pmmh,butterfly,0.5834,0.453471,8.38889,4,151
pmmh,butterfly,0.686116,0.472231,8.88235,3,151
pmmh,butterfly,0.648722,0.487677,6.04,3,151
pmmh,butterfly,0.647089,0.655999,5.59259,4,151
pmmh,butterfly,0.669787,0.411486,7.19048,3,151
pmmh,butterfly,0.629179,0.435773,8.38889,7,151
pmmh,butterfly,0.662685,0.487121,6.04,5,151
pmmh,butterfly,0.569555,0.468735,7.55,3,151
pmmh,butterfly,0.683652,0.401077,10.0667,2,151
pmmh,butterfly,0.597203,0.474206,7.55,5,151
tracker,butterfly,0.59506,0.458377,50.3333,3,151
